Chat	Chat
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.FaceFrontAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.Head.HairAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.HairAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.Head.HatAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.HatAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.Head.HeadWrapTarget
Motor6D	ReplicatedStorage.Assets.TungTung.Head.Neck
Attachment	ReplicatedStorage.Assets.TungTung.Head.NeckRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.NeckRigAttachment.OriginalPosition
Vector3Value	ReplicatedStorage.Assets.TungTung.Head.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.Head.SurfaceAppearance
Humanoid	ReplicatedStorage.Assets.TungTung.Humanoid
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.BodyDepthScale
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.BodyHeightScale
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.BodyProportionScale
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.BodyTypeScale
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.BodyWidthScale
Configuration	ReplicatedStorage.Assets.TungTung.Humanoid.Configuration
Script	ReplicatedStorage.Assets.TungTung.Humanoid.Configuration.CREDITS
IntValue	ReplicatedStorage.Assets.TungTung.Humanoid.Configuration.CREDITS.MaxSpeed
IntValue	ReplicatedStorage.Assets.TungTung.Humanoid.Configuration.CREDITS.MinimumSpeed
NumberValue	ReplicatedStorage.Assets.TungTung.Humanoid.HeadScale
IntValue	ReplicatedStorage.Assets.TungTung.Humanoid.LegSize
Part	ReplicatedStorage.Assets.TungTung.HumanoidRootPart
Vector3Value	ReplicatedStorage.Assets.TungTung.HumanoidRootPart.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.HumanoidRootPart.RootRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.HumanoidRootPart.RootRigAttachment.OriginalPosition
Folder	ReplicatedStorage.Assets.TungTung.InitialPoses
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.Head_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.Head_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.Head_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftFoot_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftFoot_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftFoot_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftHand_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftHand_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftHand_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerArm_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerArm_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerArm_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerLeg_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerLeg_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftLowerLeg_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperArm_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperArm_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperArm_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperLeg_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperLeg_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LeftUpperLeg_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LowerTorso_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LowerTorso_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.LowerTorso_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightFoot_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightFoot_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightFoot_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightHand_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightHand_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightHand_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerArm_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerArm_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerArm_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerLeg_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerLeg_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightLowerLeg_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperArm_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperArm_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperArm_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperLeg_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperLeg_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.RightUpperLeg_Original
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.UpperTorso_Composited
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.UpperTorso_Initial
CFrameValue	ReplicatedStorage.Assets.TungTung.InitialPoses.UpperTorso_Original
MeshPart	ReplicatedStorage.Assets.TungTung.LeftFoot
StringValue	ReplicatedStorage.Assets.TungTung.LeftFoot.AvatarPartScaleType
Motor6D	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftAnkle
Attachment	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftAnkleRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftAnkleRigAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftFootAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftFootAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftFoot.LeftFootWrapTarget
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftFoot.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftFoot.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LeftHand
StringValue	ReplicatedStorage.Assets.TungTung.LeftHand.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.LeftHand.LeftGripAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftHand.LeftGripAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftHand.LeftHandWrapTarget
Motor6D	ReplicatedStorage.Assets.TungTung.LeftHand.LeftWrist
Attachment	ReplicatedStorage.Assets.TungTung.LeftHand.LeftWristRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftHand.LeftWristRigAttachment.OriginalPosition
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftHand.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftHand.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LeftLowerArm
StringValue	ReplicatedStorage.Assets.TungTung.LeftLowerArm.AvatarPartScaleType
Motor6D	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftElbow
Attachment	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftElbowRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftElbowRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftLowerArmWrapTarget
Attachment	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftWristRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerArm.LeftWristRigAttachment.OriginalPosition
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerArm.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftLowerArm.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LeftLowerLeg
StringValue	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftAnkleRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftAnkleRigAttachment.OriginalPosition
Motor6D	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftKnee
Attachment	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftKneeRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftKneeRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.LeftLowerLegWrapTarget
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftLowerLeg.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LeftUpperArm
StringValue	ReplicatedStorage.Assets.TungTung.LeftUpperArm.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftElbowRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftElbowRigAttachment.OriginalPosition
Motor6D	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftShoulder
Attachment	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftShoulderAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftShoulderAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftShoulderRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftShoulderRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftUpperArm.LeftUpperArmWrapTarget
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperArm.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftUpperArm.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LeftUpperLeg
StringValue	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.AvatarPartScaleType
Motor6D	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftHip
Attachment	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftHipRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftHipRigAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftKneeRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftKneeRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.LeftUpperLegWrapTarget
Vector3Value	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.OriginalSize
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LeftUpperLeg.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.LowerTorso
StringValue	ReplicatedStorage.Assets.TungTung.LowerTorso.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.LeftHipRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.LeftHipRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.LowerTorso.LowerTorsoWrapTarget
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.RightHipRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.RightHipRigAttachment.OriginalPosition
Motor6D	ReplicatedStorage.Assets.TungTung.LowerTorso.Root
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.RootRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.RootRigAttachment.OriginalPosition
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.LowerTorso.SurfaceAppearance
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistBackAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistBackAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistCenterAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistCenterAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistFrontAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistFrontAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.LowerTorso.WaistRigAttachment.OriginalPosition
MeshPart	ReplicatedStorage.Assets.TungTung.RightFoot
StringValue	ReplicatedStorage.Assets.TungTung.RightFoot.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightFoot.OriginalSize
Motor6D	ReplicatedStorage.Assets.TungTung.RightFoot.RightAnkle
Attachment	ReplicatedStorage.Assets.TungTung.RightFoot.RightAnkleRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightFoot.RightAnkleRigAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.RightFoot.RightFootAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightFoot.RightFootAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightFoot.RightFootWrapTarget
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightFoot.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.RightHand
StringValue	ReplicatedStorage.Assets.TungTung.RightHand.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightHand.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.RightHand.RightGripAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightHand.RightGripAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightHand.RightHandWrapTarget
Motor6D	ReplicatedStorage.Assets.TungTung.RightHand.RightWrist
Attachment	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment
Configuration	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment.Configuration
Script	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment.Configuration.CREDITS
IntValue	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment.Configuration.CREDITS.MaxSpeed
IntValue	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment.Configuration.CREDITS.MinimumSpeed
Vector3Value	ReplicatedStorage.Assets.TungTung.RightHand.RightWristRigAttachment.OriginalPosition
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightHand.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.RightLowerArm
StringValue	ReplicatedStorage.Assets.TungTung.RightLowerArm.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerArm.OriginalSize
Motor6D	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightElbow
Attachment	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightElbowRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightElbowRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightLowerArmWrapTarget
Attachment	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightWristRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerArm.RightWristRigAttachment.OriginalPosition
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightLowerArm.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.RightLowerLeg
StringValue	ReplicatedStorage.Assets.TungTung.RightLowerLeg.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerLeg.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightAnkleRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightAnkleRigAttachment.OriginalPosition
Motor6D	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightKnee
Attachment	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightKneeRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightKneeRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightLowerLeg.RightLowerLegWrapTarget
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightLowerLeg.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.RightUpperArm
StringValue	ReplicatedStorage.Assets.TungTung.RightUpperArm.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperArm.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightElbowRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightElbowRigAttachment.OriginalPosition
Motor6D	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightShoulder
Attachment	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightShoulderAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightShoulderAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightShoulderRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightShoulderRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightUpperArm.RightUpperArmWrapTarget
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightUpperArm.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.RightUpperLeg
StringValue	ReplicatedStorage.Assets.TungTung.RightUpperLeg.AvatarPartScaleType
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperLeg.OriginalSize
Motor6D	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightHip
Attachment	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightHipRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightHipRigAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightKneeRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightKneeRigAttachment.OriginalPosition
WrapTarget	ReplicatedStorage.Assets.TungTung.RightUpperLeg.RightUpperLegWrapTarget
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.RightUpperLeg.SurfaceAppearance
MeshPart	ReplicatedStorage.Assets.TungTung.UpperTorso
StringValue	ReplicatedStorage.Assets.TungTung.UpperTorso.AvatarPartScaleType
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.BodyBackAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.BodyBackAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.BodyFrontAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.BodyFrontAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.LeftCollarAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.LeftCollarAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.LeftShoulderRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.LeftShoulderRigAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.NeckAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.NeckAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.NeckRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.NeckRigAttachment.OriginalPosition
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.OriginalSize
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.RightCollarAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.RightCollarAttachment.OriginalPosition
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.RightShoulderRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.RightShoulderRigAttachment.OriginalPosition
SurfaceAppearance	ReplicatedStorage.Assets.TungTung.UpperTorso.SurfaceAppearance
WrapTarget	ReplicatedStorage.Assets.TungTung.UpperTorso.UpperTorsoWrapTarget
Motor6D	ReplicatedStorage.Assets.TungTung.UpperTorso.Waist
Attachment	ReplicatedStorage.Assets.TungTung.UpperTorso.WaistRigAttachment
Vector3Value	ReplicatedStorage.Assets.TungTung.UpperTorso.WaistRigAttachment.OriginalPosition
ModuleScript	ReplicatedStorage.CameraShaker
ModuleScript	ReplicatedStorage.CameraShaker.CameraShakeInstance
ModuleScript	ReplicatedStorage.CameraShaker.CameraShakePresets
ModuleScript	ReplicatedStorage.CmdrClient
RemoteEvent	ReplicatedStorage.CmdrClient.CmdrEvent
RemoteFunction	ReplicatedStorage.CmdrClient.CmdrFunction
ModuleScript	ReplicatedStorage.CmdrClient.CmdrInterface
ModuleScript	ReplicatedStorage.CmdrClient.CmdrInterface.AutoComplete
ModuleScript	ReplicatedStorage.CmdrClient.CmdrInterface.MobileButton
ModuleScript	ReplicatedStorage.CmdrClient.CmdrInterface.Window
Folder	ReplicatedStorage.CmdrClient.Commands
ModuleScript	ReplicatedStorage.CmdrClient.Commands.activateRPOEvent
ModuleScript	ReplicatedStorage.CmdrClient.Commands.alias
ModuleScript	ReplicatedStorage.CmdrClient.Commands.announce
ModuleScript	ReplicatedStorage.CmdrClient.Commands.ban
ModuleScript	ReplicatedStorage.CmdrClient.Commands.bind
ModuleScript	ReplicatedStorage.CmdrClient.Commands.blink
ModuleScript	ReplicatedStorage.CmdrClient.Commands.clear
ModuleScript	ReplicatedStorage.CmdrClient.Commands.clearDungeon
ModuleScript	ReplicatedStorage.CmdrClient.Commands.clearRoom
ModuleScript	ReplicatedStorage.CmdrClient.Commands.disableCooldowns
ModuleScript	ReplicatedStorage.CmdrClient.Commands.dropEpicT3
ModuleScript	ReplicatedStorage.CmdrClient.Commands.dropLegSpell
ModuleScript	ReplicatedStorage.CmdrClient.Commands.dropLegendary
ModuleScript	ReplicatedStorage.CmdrClient.Commands.dropUltimate
ModuleScript	ReplicatedStorage.CmdrClient.Commands.echo
ModuleScript	ReplicatedStorage.CmdrClient.Commands.edit
ModuleScript	ReplicatedStorage.CmdrClient.Commands.fetch
ModuleScript	ReplicatedStorage.CmdrClient.Commands.fling
ModuleScript	ReplicatedStorage.CmdrClient.Commands.fly
ModuleScript	ReplicatedStorage.CmdrClient.Commands.freecam
ModuleScript	ReplicatedStorage.CmdrClient.Commands.getPlayerPlaceInstance
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveAbility
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveChest
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveCosmetic
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveGold
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveHelmet
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveTierKey
ModuleScript	ReplicatedStorage.CmdrClient.Commands.giveWeapon
ModuleScript	ReplicatedStorage.CmdrClient.Commands.godmode
ModuleScript	ReplicatedStorage.CmdrClient.Commands.gotoPlace
ModuleScript	ReplicatedStorage.CmdrClient.Commands.heal
ModuleScript	ReplicatedStorage.CmdrClient.Commands.help
ModuleScript	ReplicatedStorage.CmdrClient.Commands.hideUIS
ModuleScript	ReplicatedStorage.CmdrClient.Commands.history
ModuleScript	ReplicatedStorage.CmdrClient.Commands.hover
ModuleScript	ReplicatedStorage.CmdrClient.Commands.jsonArrayDecode
ModuleScript	ReplicatedStorage.CmdrClient.Commands.jsonArrayEncode
ModuleScript	ReplicatedStorage.CmdrClient.Commands.kick
ModuleScript	ReplicatedStorage.CmdrClient.Commands.kill
ModuleScript	ReplicatedStorage.CmdrClient.Commands.len
ModuleScript	ReplicatedStorage.CmdrClient.Commands.math
ModuleScript	ReplicatedStorage.CmdrClient.Commands.nextRoom
ModuleScript	ReplicatedStorage.CmdrClient.Commands.noclip
ModuleScript	ReplicatedStorage.CmdrClient.Commands.pick
ModuleScript	ReplicatedStorage.CmdrClient.Commands.position
ModuleScript	ReplicatedStorage.CmdrClient.Commands.rand
ModuleScript	ReplicatedStorage.CmdrClient.Commands.replace
ModuleScript	ReplicatedStorage.CmdrClient.Commands.resetEventData
ModuleScript	ReplicatedStorage.CmdrClient.Commands.resolve
ModuleScript	ReplicatedStorage.CmdrClient.Commands.respawn
ModuleScript	ReplicatedStorage.CmdrClient.Commands.run
